"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"50","200872_at","S100A10","6281","S100 calcium binding protein A10",-0.174166533016868,12.2822092201283,-0.813884601590035,0.426542805768567,0.471554096502077,-6.68426129064036
"51","200878_at","EPAS1","2034","endothelial PAS domain protein 1",0.386131120375952,8.60104322989895,1.91095053796536,0.0723720366498924,0.0961961790189955,-5.28637446512121
"52","200880_at","DNAJA1","3301","DnaJ heat shock protein family (Hsp40) member A1",0.697529388178063,10.184316280783,3.7705573194172,0.00143918160536911,0.00380144987925862,-1.57230854481417
"53","200899_s_at","OGA","10724","O-GlcNAcase",0.35183488458827,8.4744205693917,1.38882548010652,0.182142962618977,0.220290689189333,-6.06586778843916
"54","200900_s_at","M6PR","4074","mannose-6-phosphate receptor, cation dependent",-0.26354821296588,9.09135046202753,-1.23693394717382,0.232298540595641,0.274317507382742,-6.25616034514324
"55","200904_at","HLA-E","3133","major histocompatibility complex, class I, E",-0.952389864144195,7.9892740117427,-4.75396558523031,0.000166309391152183,0.000774362495439817,0.572577717927294
"56","200906_s_at","PALLD","23022","palladin, cytoskeletal associated protein",1.13601145593034,8.22978240639102,4.03432532736569,0.000803644500297481,0.00246498674126853,-0.996643302276106
"57","200911_s_at","TACC1","6867","transforming acidic coiled-coil containing protein 1",0.809680282005681,8.66844973219635,4.23260422518647,0.000519178254207174,0.00177505156151758,-0.563075098264117
"58","200917_s_at","SRPRA","6734","SRP receptor subunit alpha",0.127901270779336,7.64835117504311,0.432212877965872,0.670814806783631,0.705151429096963,-6.9276898082222
"59","200921_s_at","BTG1","694","BTG anti-proliferation factor 1",-0.888490401731961,8.78653112500102,-4.50051497472685,0.000288568280037277,0.00113491592345201,0.0218781203176999
"60","200927_s_at","RAB14","51552","RAB14, member RAS oncogene family",0.778354692551172,9.03189902712751,3.73098561635551,0.00157069360226843,0.00406231931662585,-1.65841245067646
"61","200934_at","DEK","7913","DEK proto-oncogene",1.15263085229609,9.36086727810189,5.25790304891109,5.65711770082079e-05,0.000336712514208163,1.65406826758823
"62","200940_s_at","RERE","473","arginine-glutamic acid dipeptide repeats",0.439431261106738,7.93852575039662,2.18963067123864,0.0422259056369804,0.0597093175468656,-4.80367319364769
"63","200941_at","HSBP1","3281","heat shock factor binding protein 1",-0.851581501961647,9.66118505725928,-4.55289685111936,0.000257400461840183,0.00104750439069993,0.135963991209558
"64","200964_at","UBA1","7317","ubiquitin like modifier activating enzyme 1",-0.338143788190129,10.9358838466856,-1.60465101680985,0.126292976974419,0.1584923195458,-5.76574790221149
"65","200970_s_at","SERP1","27230","stress associated endoplasmic reticulum protein 1",-0.399108749764725,8.77083062543336,-1.88766326777815,0.0756063167777807,0.0999808905449459,-5.3248225782916
"66","200974_at","ACTA2","59","actin, alpha 2, smooth muscle, aorta",-0.0946072987719226,8.307831542072,-0.325717298809901,0.748463547902037,0.775471253606487,-6.9696508617067
"67","200976_s_at","TAX1BP1","8887","Tax1 binding protein 1",0.314081965112123,9.53728563383355,1.46658037011393,0.160060847484326,0.196651619670719,-5.9616204801289
"68","200989_at","HIF1A","3091","hypoxia inducible factor 1 subunit alpha",0.948221559579901,10.6636974696982,4.44134907332094,0.00032840956458845,0.0012526421399616,-0.107119282732072
"69","200990_at","TRIM28","10155","tripartite motif containing 28",-0.498407577641155,10.6281432383162,-2.34681848338115,0.0308090947558291,0.0454174424856509,-4.51487476035188
"70","200995_at","IPO7","10527","importin 7",1.41168109770039,7.60470649788878,6.20491283571559,8.06929252374285e-06,7.8441617918892e-05,3.6150092358374
"71","200999_s_at","CKAP4","10970","cytoskeleton associated protein 4",-0.228918741213642,9.95785715850635,-0.924162651857393,0.367850093158456,0.414349124186114,-6.58795358755591
"72","201010_s_at","TXNIP","10628","thioredoxin interacting protein",-0.952558729374744,7.8573277464499,-4.38063566774394,0.000375106246493681,0.00137518776723837,-0.239619232660738
"73","201016_at","EIF1AX","1964","eukaryotic translation initiation factor 1A X-linked",0.549034043987144,8.62336300855241,2.18227844532347,0.0428451407972453,0.0604746388767672,-4.81690850656859
"74","201023_at","TAF7","6879","TATA-box binding protein associated factor 7",-1.28297227624499,9.55615336650417,-6.46695736066235,4.80498427171041e-06,5.55979709946791e-05,4.13781834311528
"75","201032_at","BLCAP","10904","BLCAP, apoptosis inducing factor",-0.97901505619431,9.32182660215907,-5.20131071014161,6.37704988679221e-05,0.000366719976438992,1.53372226094942
"76","201038_s_at","ANP32A","8125","acidic nuclear phosphoprotein 32 family member A",0.710523511675114,7.48426562410531,2.96923020830748,0.00833726801136376,0.0155278487106541,-3.28266215878195
"77","201042_at","TGM2","7052","transglutaminase 2",-0.508643378391159,8.26830215455375,-2.50837370189459,0.0221231852933778,0.0345438054354303,-4.20738504851612
"78","201055_s_at","HNRNPA0","10949","heterogeneous nuclear ribonucleoprotein A0",-0.743412349789033,8.87516514999345,-3.7356967783627,0.00155442791173357,0.00403033524605837,-1.64816634654468
"79","201057_s_at","GOLGB1","2804","golgin B1",0.565704124599168,7.51847217373849,3.10100622625806,0.00626766414668822,0.0122814826864165,-3.00816751517723
"80","201084_s_at","BCLAF1","9774","BCL2 associated transcription factor 1",0.398663294284969,9.56864097387541,1.88647850898608,0.0757742376984542,0.100160234911725,-5.32677034554984
"81","201099_at","USP9X","8239","ubiquitin specific peptidase 9 X-linked",1.47710302689435,7.28965453832105,7.14356451198312,1.31531054902841e-06,2.37138256542855e-05,5.44443206586391
"82","201110_s_at","THBS1","7057","thrombospondin 1",0.421916013130955,7.81139883701614,1.45639198125522,0.162823167688532,0.199413366114588,-5.97553486355957
"83","201111_at","CSE1L","1434","chromosome segregation 1 like",0.608706382600417,10.0007000855612,3.17699152520818,0.00531197923080271,0.0107663056174635,-2.84831931468406
"84","201117_s_at","CPE","1363","carboxypeptidase E",-0.334766593268479,5.37937486128452,-1.51096274194952,0.14847370796541,0.183652560191757,-5.90012874057458
"85","201120_s_at","PGRMC1","10857","progesterone receptor membrane component 1",-0.50771650165772,10.1468628201681,-2.43810938909242,0.0255719706411983,0.0389674107903469,-4.34236044412447
"86","201123_s_at","EIF5A","1984","eukaryotic translation initiation factor 5A",0.267123863723612,11.9102505274863,1.23211473167617,0.234049873613416,0.276070238902702,-6.26189866485032
"87","201126_s_at","MGAT1","4245","mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",-0.593062936860196,8.61668167855468,-3.24308395089746,0.00459792072422471,0.00956922964149049,-2.70845474283904
"88","201133_s_at","PJA2","9867","praja ring finger ubiquitin ligase 2",1.43837345711467,7.29333012883336,5.82233175681695,1.74834286536507e-05,0.000140821070792132,2.83568139597192
"89","201140_s_at","RAB5C","5878","RAB5C, member RAS oncogene family",-0.181870471971038,9.01559557765373,-0.711025289566603,0.486348608640447,0.53048435996976,-6.76383253497938
"90","201141_at","GPNMB","10457","glycoprotein nmb",0.0759074629248069,5.88306504209104,0.193486892708891,0.848784287107765,0.865815813921441,-7.00549295829471
"91","201143_s_at","EIF2S1","1965","eukaryotic translation initiation factor 2 subunit alpha",-0.443859114569763,8.6380084126167,-2.18495717295668,0.0426185682049015,0.0602370920708294,-4.81208926046597
"92","201146_at","NFE2L2","4780","nuclear factor, erythroid 2 like 2",1.02420429354382,8.9860691820914,4.79703053447931,0.000151523014083991,0.000721592168699553,0.665775514478383
"93","201149_s_at","TIMP3","7078","TIMP metallopeptidase inhibitor 3",0.581016181054276,8.21886457129758,2.27365087993593,0.0357110546361693,0.0515549257107826,-4.65065853488563
"94","201153_s_at","MBNL1","4154","muscleblind like splicing regulator 1",2.30447873378005,7.86679962155635,9.94284802327805,1.16447225295626e-08,8.80738647906674e-07,10.1875798508809
"95","201158_at","NMT1","4836","N-myristoyltransferase 1",0.60053092462689,7.47998425646934,3.04660857752588,0.00705297908945942,0.0134957617782051,-3.12192091931092
"96","201163_s_at","IGFBP7","3490","insulin like growth factor binding protein 7",-0.247661481392726,10.5706998281321,-1.12605996152448,0.275201231167369,0.318551331784252,-6.38334660162243
"97","201166_s_at","PUM1","9698","pumilio RNA binding family member 1",1.03771478060205,9.08468938318098,4.62504220470738,0.000219980977768992,0.000926849201170714,0.292881540239814
"98","201169_s_at","BHLHE40","8553","basic helix-loop-helix family member e40",-0.0219378499073812,8.09103376847666,-0.0672508338503407,0.94713708727194,0.952666917817154,-7.02272613288187
"99","201177_s_at","UBA2","10054","ubiquitin like modifier activating enzyme 2",0.775416009546099,8.86909941416028,3.66134665848419,0.00183190713509681,0.0045582103016683,-1.80969660780448
"100","201194_at","SELENOW","6415","selenoprotein W",-0.362552184894493,10.0130487557662,-1.7059696943516,0.105527214088071,0.134722062942407,-5.61371939284308
"101","201195_s_at","SLC7A5","8140","solute carrier family 7 member 5",0.653260175806544,12.4648659703417,3.30506717368787,0.00401436376443274,0.00853809467318651,-2.57664951247996
"102","201196_s_at","AMD1","262","adenosylmethionine decarboxylase 1",-0.0350213397359536,8.84987078634535,-0.163182000797522,0.872226834781727,0.886458300449782,-7.01114860805371
"103","201204_s_at","RRBP1","6238","ribosome binding protein 1",0.607654321063482,8.11518791555881,2.95610613597955,0.00857653160966702,0.0158875893199387,-3.30979351140728
"104","201211_s_at","DDX3X","1654","DEAD-box helicase 3 X-linked",0.730971824620784,8.74744887833076,2.55664704924771,0.0200134404586954,0.0317097733616748,-4.11361144163198
"105","201212_at","LGMN","5641","legumain",-0.612072848073115,8.05440352106635,-3.21346505746659,0.00490545370940062,0.0101008047495693,-2.77122457496849
"106","201214_s_at","PPP1R7","5510","protein phosphatase 1 regulatory subunit 7",-0.629648246575005,7.87948445850481,-3.4100173987222,0.00318813181050019,0.00710740240428546,-2.35222451576828
"107","201218_at","CTBP2","1488","C-terminal binding protein 2",2.41343733225874,8.1955742663774,10.1943291497828,7.97023068021889e-09,7.9728017223738e-07,10.56485373028
"108","201223_s_at","RAD23B","5887","RAD23 homolog B, nucleotide excision repair protein",0.370844618186226,9.14473737778432,1.81741583660785,0.0861508113797366,0.112533136515823,-5.43889240825519
"109","201229_s_at","ARIH2","10425","ariadne RBR E3 ubiquitin protein ligase 2",0.366179746944442,7.47996672822705,1.8514624018001,0.0808886171394954,0.106196275084494,-5.38396955825171
"110","201236_s_at","BTG2","7832","BTG anti-proliferation factor 2",-0.893539488003391,8.66785591791058,-4.41127299830781,0.000350756481914029,0.00130889994033141,-0.172741996314202
"111","201237_at","CAPZA2","830","capping actin protein of muscle Z-line subunit alpha 2",0.566528806596539,7.95741404178021,2.92297844880165,0.00921046778923998,0.0168306780285405,-3.37809992201769
"112","201243_s_at","ATP1B1","481","ATPase Na+/K+ transporting subunit beta 1",0.816934957154588,10.446636330147,4.30858124835503,0.00043934084881526,0.00155376452215671,-0.397005518982882
"113","201244_s_at","RAF1","5894","Raf-1 proto-oncogene, serine/threonine kinase",0.935345408086532,8.84017837841602,4.75092805844301,0.000167406256796118,0.000775974293460031,0.56599953337063
"114","201250_s_at","SLC2A1","6513","solute carrier family 2 member 1",0.902615336070383,8.86767457644166,4.29032646573728,0.000457312340457172,0.00160603122056364,-0.436897637762155
"115","201266_at","TXNRD1","7296","thioredoxin reductase 1",1.469929426303,10.9324358215691,6.60900716088408,3.64187111516726e-06,4.6475071309192e-05,4.41736242898912
"116","201280_s_at","DAB2","1601","DAB2, clathrin adaptor protein",0.410165537177205,8.19257486776367,1.73471979596385,0.100198177847297,0.128607015523372,-5.56936213267789
"117","201281_at","ADRM1","11047","adhesion regulating molecule 1",-0.616293953707753,10.0736288921548,-3.10860265820203,0.00616502389614557,0.0121382470488555,-2.99223570046008
"118","201282_at","OGDH","4967","oxoglutarate dehydrogenase",0.421541037634043,8.85078547971123,1.79609148036246,0.0895976312521826,0.116544569846065,-5.47293789650861
"119","201288_at","ARHGDIB","397","Rho GDP dissociation inhibitor beta",-0.309005061652196,6.36486910867373,-1.51998067024812,0.146206398085778,0.181167302724542,-5.88746160964728
"120","201289_at","CYR61","3491","cysteine rich angiogenic inducer 61",-0.295716975613894,9.96544331192129,-1.32368931553539,0.202476378130201,0.242237364421972,-6.14968141586356
"121","201291_s_at","TOP2A","7153","DNA topoisomerase II alpha",1.16923756430656,9.24482812048385,5.26254650929303,5.60187457982257e-05,0.000334655068192745,1.6639289000185
"122","201296_s_at","WSB1","26118","WD repeat and SOCS box containing 1",-0.396902768272852,7.85737168030594,-1.75477399948258,0.0966203585129021,0.124685697772996,-5.53811162277969
"123","201299_s_at","MOB1A","55233","MOB kinase activator 1A",0.262504897839636,5.78056172892708,1.23214035324515,0.23404053576587,0.276070238902702,-6.26186820658601
"124","201300_s_at","PRNP","5621","prion protein",-0.821357208708495,8.0146419241979,-4.04293424684813,0.000788521375540497,0.00243546293381582,-0.97782275370714
"125","201306_s_at","ANP32B","10541","acidic nuclear phosphoprotein 32 family member B",0.494021786111002,11.7904202272511,2.59884322849001,0.0183267486755185,0.0294309930827462,-4.03098016119169
"126","201308_s_at","SEPT11","55752","septin 11",-0.260712147033955,5.84615425326957,-1.07603167003312,0.296385338170232,0.340404049505885,-6.4373582350689
"127","201309_x_at","NREP","9315","neuronal regeneration related protein",0.0771093769186484,7.62921339391751,0.330208967342187,0.745124648883159,0.773303726970106,-6.96811587778924
"128","201312_s_at","SH3BGRL","6451","SH3 domain binding glutamate rich protein like",-0.204480607976228,9.27210268257891,-0.952408207058603,0.353736774558105,0.399467493774466,-6.56149753096994
"129","201313_at","ENO2","2026","enolase 2",0.642518471753393,7.31715336595102,2.88981599487588,0.0098904031840235,0.0178004296422849,-3.44621433373853
"130","201319_at","MYL12A","10627","myosin light chain 12A",-0.274001659140845,8.80426256015143,-1.28286170235597,0.216112267107503,0.256866286048434,-6.20053572878693
"131","201324_at","EMP1","2012","epithelial membrane protein 1",-0.629014912672966,8.35885152242104,-2.52826081155025,0.0212297617098242,0.0332828569576162,-4.16885336674789
"132","201329_s_at","ETS2","2114","ETS proto-oncogene 2, transcription factor",0.989388202230117,8.84008987592697,5.17820480195337,6.69737513283343e-05,0.0003817750052742,1.4844980841237
"133","201338_x_at","GTF3A","2971","general transcription factor IIIA",-0.402311865600522,10.902141058357,-2.02414206243,0.0583430012618816,0.0792820538620047,-5.09519112052167
"134","201341_at","ENC1","8507","ectodermal-neural cortex 1",-1.423593478471,8.1837386963413,-7.55451431101458,6.17220216349019e-07,1.34788724711149e-05,6.20694487126801
"135","201343_at","UBE2D2","7322","ubiquitin conjugating enzyme E2 D2",0.985727855061947,8.804900069882,5.10003145113527,7.90863534493649e-05,0.000430257512362247,1.31759125120057
"136","201346_at","ADIPOR2","79602","adiponectin receptor 2",0.703591942643294,9.15646878162422,3.8459372659925,0.00121834288609309,0.00335531198026169,-1.40805822984472
"137","201358_s_at","COPB1","1315","coatomer protein complex subunit beta 1",0.771968235898882,9.32827791533241,3.54491455467367,0.00236868462987204,0.00561030764671706,-2.06179685581228
"138","201361_at","TMEM109","79073","transmembrane protein 109",-0.326896695162098,9.63303182037513,-1.6318787063586,0.120397092487358,0.151800397697818,-5.72556238990401
"139","201369_s_at","ZFP36L2","678","ZFP36 ring finger protein like 2",-0.730125525785299,6.20306913363864,-3.18608712067519,0.00520761406976566,0.0106032903679208,-2.82911519514538
"140","201371_s_at","CUL3","8452","cullin 3",1.23732956608891,9.04178218815179,5.68058501957155,2.33944710522833e-05,0.000169897552068221,2.5423358013159
"141","201377_at","UBAP2L","9898","ubiquitin associated protein 2 like",0.562367328634803,9.10667405449824,2.86948964863988,0.0103308791285004,0.0184645856930719,-3.48782920734187
"142","201383_s_at","NBR1","4077","NBR1, autophagy cargo receptor",0.186228151103277,8.13583589474239,0.794476436395,0.437458590179483,0.482761241333301,-6.70004212372493
"143","201385_at","DHX15","1665","DEAH-box helicase 15",0.63202232674581,10.5062908109586,3.33010718757804,0.00379986221176359,0.0082056913082722,-2.5232406752271
"144","201407_s_at","PPP1CB","5500","protein phosphatase 1 catalytic subunit beta",-0.0962886786543402,7.63969837532611,-0.407159453045155,0.688780538717572,0.720373845046608,-6.9386035621834
"145","201416_at","SOX4","6659","SRY-box 4",-0.798936388864344,8.18177850139437,-3.34461980254898,0.00368075355604871,0.0079805768537665,-2.4922456019876
"146","201424_s_at","CUL4A","8451","cullin 4A",0.630167499385984,6.48062052174,2.71081867647356,0.014481669030845,0.0243006794722135,-3.80888456115816
"147","201437_s_at","EIF4E","1977","eukaryotic translation initiation factor 4E",0.851735214270064,7.26573972949831,3.11210693057141,0.00611823050322416,0.0120783626536891,-2.98488253273792
"148","201440_at","DDX23","9416","DEAD-box helicase 23",0.492595909170731,9.1769528479595,2.60903961223793,0.0179399095666868,0.0289145839741661,-4.01092296976167
"149","201444_s_at","ATP6AP2","10159","ATPase H+ transporting accessory protein 2",-0.344643722707652,9.55779710004611,-1.60833623666747,0.125480944109276,0.157537007159054,-5.76033817625626
"150","201448_at","TIA1","7072","TIA1 cytotoxic granule associated RNA binding protein",1.01459688345135,5.31075763907046,4.73176163856182,0.000174499342055,0.000799294622913673,0.524478380791897
"151","201451_x_at","RHEB","6009","Ras homolog, mTORC1 binding",-0.152137513340961,5.71940593848773,-0.624656481329637,0.540178927576852,0.581428272966268,-6.82279873519079
"152","201458_s_at","BUB3","9184","BUB3, mitotic checkpoint protein",0.725575340010943,9.47359180818408,3.3061222186489,0.0040050898999922,0.0085242167329278,-2.57440098832884
"153","201461_s_at","MAPKAPK2","9261","mitogen-activated protein kinase-activated protein kinase 2",0.779726983326199,5.50591134201819,3.3145069402385,0.00393213415468441,0.00839198073893762,-2.55652562412287
"154","201462_at","SCRN1","9805","secernin 1",0.136572906097919,9.27377749651579,0.558925923967104,0.583226800334104,0.622148712705902,-6.86277919128982
"155","201464_x_at","JUN","3725","Jun proto-oncogene, AP-1 transcription factor subunit",-1.0588307528772,8.99702350589564,-4.5266804617319,0.000272547657138172,0.00109195127233265,0.0788807567003937
"156","201469_s_at","SHC1","6464","SHC adaptor protein 1",-0.181681428956878,9.15557634449878,-0.83289980889834,0.416016961681159,0.461068119432907,-6.66845779563685
"157","201471_s_at","SQSTM1","8878","sequestosome 1",0.601373808521672,11.0943557267904,3.14951703863626,0.00563982249494492,0.0112909245449358,-2.90623909545664
"158","201476_s_at","RRM1","6240","ribonucleotide reductase catalytic subunit M1",0.0956061486330189,9.74484338034764,0.424251812014486,0.676502179526907,0.710166979929905,-6.93122700176762
"159","201484_at","SUPT4H1","6827","SPT4 homolog, DSIF elongation factor subunit",-0.648957726431993,8.71954301173432,-3.51766231054824,0.00251537245687091,0.00586920239936545,-2.12062649555203
"160","201489_at","PPIF","10105","peptidylprolyl isomerase F",-1.14200974822825,10.3615921770638,-5.40731583069647,4.13042039987489e-05,0.000266842367916917,1.97025929829812
"161","201493_s_at","PUM2","23369","pumilio RNA binding family member 2",0.992392206633094,7.73709795415515,4.23810578682822,0.000512933999520277,0.00175757826796948,-0.551046970370686
"162","201498_at","USP7","7874","ubiquitin specific peptidase 7",1.09267574254674,7.60594399786633,5.07629815358452,8.31909222166626e-05,0.000448652260511079,1.26680904009885
"163","201502_s_at","NFKBIA","4792","NFKB inhibitor alpha",-1.05193642489053,9.63227861733475,-5.14698054418602,7.15661708316027e-05,0.000399472080697799,1.41789906365552
"164","201503_at","G3BP1","10146","G3BP stress granule assembly factor 1",0.953695451100346,9.50307457066752,4.39638330854923,0.00036238378865396,0.00134231082102556,-0.20524063567231
